CHR	START	STOP	GENE	REGION_COV	AVG_AUTOSOMAL_COV	AVG_TOTAL_COV	AVG_GENE_COV	NORMALIZED_AUTOSOMAL	NORMALIZED_TOTAL	NORMALIZED_GENE
chr1	1718703	1718823	778146_43649369_GNB1_Ex_11_1	417.273	290.817435400229	290.328371570743	417.273	1.43482800274935	1.43724499862847	1
chr1	1718823	1718943	778146_43649369_GNB1_Ex_11_2	433.231	290.817435400229	290.328371570743	433.231	1.48970091632841	1.49221034670542	1
chr1	1720479	1720599	778146_43649370_GNB1_Ex_10_1	383.388	290.817435400229	290.328371570743	383.388	1.31831160491589	1.32053232664029	1
chr1	1720599	1720719	778146_43649370_GNB1_Ex_10_2	456.331	290.817435400229	290.328371570743	456.331	1.56913219240788	1.57177542632552	1
chr1	1721814	1721934	778146_43649371_GNB1_Ex_9_1	361.975	290.817435400229	290.328371570743	361.975	1.24468121899859	1.24677790889548	1
chr1	1721934	1722054	778146_43649371_GNB1_Ex_9_2	409.306	290.817435400229	290.328371570743	409.306	1.40743280896038	1.40980365709889	1
chr1	1724657	1724777	778146_43649372_GNB1_Ex_8_1	188.198	290.817435400229	290.328371570743	188.198	0.647134514961243	0.648224625729154	1
chr1	1735819	1735939	778146_43649373_GNB1_Ex_7_1	469.488	290.817435400229	290.328371570743	469.488	1.61437363393938	1.61709307795157	1
chr1	1735939	1736059	778146_43649373_GNB1_Ex_7_2	502.174	290.817435400229	290.328371570743	502.174	1.72676717030015	1.72967594342614	1
chr1	1737885	1738005	778146_43649374_GNB1_Ex_6_1	257.86	290.817435400229	290.328371570743	257.86	0.886673110383245	0.888166728607741	1
chr1	1747128	1747248	778146_43649375_GNB1_Ex_5_1	409.231	290.817435400229	290.328371570743	409.231	1.40717491520688	1.40954532891831	1
chr1	1747248	1747368	778146_43649375_GNB1_Ex_5_2	510.132	290.817435400229	290.328371570743	510.132	1.75413141683869	1.75708628557405	1
chr1	1749235	1749355	778146_43649376_GNB1_Ex_4_1	227.339	290.817435400229	290.328371570743	227.339	0.781724107040319	0.783040936612717	1
