CHR	START	STOP	GENE	REGION_COV	AVG_AUTOSOMAL_COV	AVG_TOTAL_COV	AVG_GENE_COV	NORMALIZED_AUTOSOMAL	NORMALIZED_TOTAL	NORMALIZED_GENE
chr1	1718703	1718823	778146_43649369_GNB1_Ex_11_1	501.785	421.598370262258	408.938433785371	501.785	1.19019672606387	1.22704289580998	1
chr1	1718823	1718943	778146_43649369_GNB1_Ex_11_2	504.314	421.598370262258	408.938433785371	504.314	1.19619532610216	1.23322720080815	1
chr1	1720479	1720599	778146_43649370_GNB1_Ex_10_1	451.529	421.598370262258	408.938433785371	451.529	1.07099322921748	1.10414909114897	1
chr1	1720599	1720719	778146_43649370_GNB1_Ex_10_2	521.091	421.598370262258	408.938433785371	521.091	1.23598912319289	1.2742529362586	1
chr1	1721814	1721934	778146_43649371_GNB1_Ex_9_1	400.579	421.598370262258	408.938433785371	400.579	0.950143615950929	0.979558209513371	1
chr1	1721934	1722054	778146_43649371_GNB1_Ex_9_2	477.322	421.598370262258	408.938433785371	477.322	1.13217230821618	1.1672221551338	1
chr1	1724657	1724777	778146_43649372_GNB1_Ex_8_1	234.355	421.598370262258	408.938433785371	234.355	0.555872642140951	0.573081375185684	1
chr1	1735819	1735939	778146_43649373_GNB1_Ex_7_1	494.322	421.598370262258	408.938433785371	494.322	1.17249504473299	1.20879320494352	1
chr1	1735939	1736059	778146_43649373_GNB1_Ex_7_2	540.124	421.598370262258	408.938433785371	540.124	1.28113398461197	1.32079539455438	1
chr1	1737885	1738005	778146_43649374_GNB1_Ex_6_1	296.19	421.598370262258	408.938433785371	296.19	0.702540666406641	0.724289955478858	1
chr1	1747128	1747248	778146_43649375_GNB1_Ex_5_1	472.562	421.598370262258	408.938433785371	472.562	1.12088194199147	1.15558226118708	1
chr1	1747248	1747368	778146_43649375_GNB1_Ex_5_2	476.488	421.598370262258	408.938433785371	476.488	1.13019412220118	1.16518272833725	1
chr1	1749235	1749355	778146_43649376_GNB1_Ex_4_1	249.041	421.598370262258	408.938433785371	249.041	0.590706742640117	0.608993871509538	1
chr1	1756803	1756923	778146_43649377_GNB1_Ex_3_1	375.198	421.598370262258	408.938433785371	375.198	0.889941770331337	0.917492632147461	1
chr1	6246683	6246803	778146_43649378_RPL22_Ex_4_1	367.628	421.598370262258	408.938433785371	367.628	0.871986292952971	0.89898128820278	1
chr1	6246803	6246923	778146_43649378_RPL22_Ex_4_2	435.339	421.598370262258	408.938433785371	435.339	1.03259175249941	1.06455877959489	1
chr1	6252931	6253051	778146_43649379_RPL22_Ex_3_1	461.174	421.598370262258	408.938433785371	461.174	1.09387045237657	1.12773454852631	1
chr1	6253051	6253171	778146_43649379_RPL22_Ex_3_2	450.256	421.598370262258	408.938433785371	450.256	1.06797376783007	1.10103615312498	1
chr1	6257643	6257763	778146_43649380_RPL22_Ex_2_1	404.711	421.598370262258	408.938433785371	404.711	0.95994441285019	0.989662419973004	1
chr1	6257763	6257883	778146_43649380_RPL22_Ex_2_2	464.595	421.598370262258	408.938433785371	464.595	1.10198481011916	1.13610011096154	1
chr1	6259567	6259687	778146_43649381_RPL22_Ex_1_1	183.017	421.598370262258	408.938433785371	183.017	0.434102721711551	0.447541695472076	1
chr1	9775532	9775652	778146_43649382_PIK3CD_Ex_4_1	392.57	421.598370262258	408.938433785371	392.57	0.931146863200158	0.959973354341251	1
chr1	9775652	9775772	778146_43649382_PIK3CD_Ex_4_2	695.826	421.598370262258	408.938433785371	695.826	1.65044755644373	1.70154219440572	1
